"","ORF","Long_description","haploids_SR7575_exp1","haploids_SR7575_exp2","avghaplo","rank1","rank2","Gene","SGTC_352","SGTC_513","SGTC_1789","CDC48_YDL126C_tsq209","CDC48_YDL126C_tsq208","RPN4_YDL020C","INO2_YDR123C","SRP101_YDR292C_damp","HAC1_YFL031W","OPI3_YJR073C","PGA3_YML125C_damp","UBC7_YMR022W","YNL181W_YNL181W_damp","4166_8_HOP_0148"
"1002","YDR352W","YDR352W YPQ2 DEL Putative vacuolar membrane transporter for cationic amino acids; likely contributes to amino acid homeostasis by exporting cationic amino acids from the vacuole; member of the PQ-loop family, with seven transmembrane domains; mutant phenotype is functionally complemented by rat PQLC2 vacuolar transporter",0.349845211759558,0.357761667146808,0.353803439453183,4309,4418,"YPQ2",-1.65129829737981,-0.604396101712726,1.05431055684328,NA,NA,-0.025089,-0.057444,NA,-0.005251,0.037271,-0.055172,-0.002202,-0.039305,0.356975714885131
"1003","YDR353W","YDR353W TRR1 DAMP Cytoplasmic thioredoxin reductase; key regulatory enzyme that determines the redox state of the thioredoxin system, which acts as a disulfide reductase system and protects cells against both oxidative and reductive stress; protein abundance increases in response to DNA replication stress; TRR1 has a paralog, TRR2, that arose from the whole genome duplication",-0.344916852674818,-0.058500565774027,-0.201708709224422,496,1638,"TRR1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1004","YDR354W","YDR354W TRP4 DEL Anthranilate phosphoribosyl transferase; transferase of the tryptophan biosynthetic pathway; catalyzes the phosphoribosylation of anthranilate; subject to the general control system of amino acid biosynthesis",-0.18075668655367,-0.030016182990449,-0.10538643477206,936,1900,"TRP4",-2.74724259727924,-0.845404356477604,-0.858687840809321,NA,NA,NA,-0.010934,NA,0.004535,0.010138,0.027239,-0.016719,0.019824,-3.46428188227117
"1005","YDR355C","YDR355C  DAMP Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified essential ORF SPC110/YDR356W",-0.358127620422315,0.270078628433541,-0.044024495994387,480,4155,"YDR355C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1006","YDR356W","YDR356W SPC110 DAMP Inner plaque spindle pole body (SPB) component; ortholog of human kendrin; involved in connecting nuclear microtubules to SPB; interacts with Tub4p-complex and calmodulin; phosphorylated by Mps1p in cell cycle-dependent manner",0.11875767785022,0.0277367419831116,0.0732472099166658,3185,2492,"SPC110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1007","YDR357C","YDR357C CNL1 DEL Subunit of the BLOC-1 complex involved in endosomal maturation; interacts with Msb3p; null mutant is sensitive to drug inducing secretion of vacuolar cargo; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm",0.0390842616764016,0.401240479376628,0.220162370526515,2520,4522,"CNL1",0.365357361689655,1.19290408562162,-0.134275846962064,NA,NA,NA,NA,NA,0.017137,-0.023691,-0.056235,0.011011,0.016996,0.614079044597543
"1008","YDR358W","YDR358W GGA1 DEL Golgi-localized protein with homology to gamma-adaptin; interacts with and regulates Arf1p and Arf2p in a GTP-dependent manner in order to facilitate traffic through the late Golgi; GGA1 has a paralog, GGA2, that arose from the whole genome duplication",0.528792787885938,-0.0361880943632182,0.24630234676136,4626,1843,"GGA1",0.144772199847725,-0.495323243317918,0.161512340230737,-0.055628,NA,-0.00508,-0.019869,NA,0.03767,-0.040306,-0.032681,-0.062088,-0.05424,-0.521485975374528
"1009","YDR360W","YDR360W OPI7 DEL Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified gene VID21/YDR359C",0.912138589982309,0.599682589070995,0.755910589526652,4835,4746,"OPI7",-0.860581394129403,-0.843095000131817,-0.510022054286182,NA,NA,-0.172723,-0.031235,NA,0.002951,-0.168661,0.074921,-0.020704,0.014574,4.01402125468296
"1010","YDR361C","YDR361C BCP1 DAMP Essential protein involved in nuclear export of Mss4p; Mss4p is a lipid kinase that generates phosphatidylinositol 4,5-biphosphate and plays a role in actin cytoskeleton organization and vesicular transport",0.0910787245560132,-0.0465869845094485,0.0222458700232823,2968,1754,"BCP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1011","YDR362C","YDR362C TFC6 DAMP Subunit of RNA polymerase III transcription initiation factor complex; one of six subunits of RNA polymerase III transcription initiation factor complex (TFIIIC); part of TFIIIC TauB domain that binds BoxB promoter sites of tRNA and other genes; cooperates with Tfc3p in DNA binding; human homolog is TFIIIC-110",-0.027049830943483,-0.32837883573728,-0.177714333340382,1997,444,"TFC6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1012","YDR363W","YDR363W ESC2 DEL Sumo-like domain protein; prevents accumulation of toxic intermediates during replication-associated recombinational repair; roles in silencing, lifespan, chromatid cohesion and the intra-S-phase DNA damage checkpoint; RENi family member",0.17367242727437,-0.170173112125473,0.00174965757444849,3579,884,"ESC2",1.53104000588531,1.32061095490827,-1.79675633153407,-0.374745,-0.54083,-0.031735,NA,NA,0.05332,0.045474,-0.022136,0.064851,0.020405,-0.0103888831045111
"1013","YDR363W-A","YDR363W-A SEM1 DEL Component of lid subcomplex of 26S proteasome regulatory subunit; involved in mRNA export mediated by TREX-2 complex (Sac3p-Thp1p); assumes different conformations in different contexts, functions as molecular glue stabilizing the Rpn3p/Rpn7p regulatory heterodimer, and tethers it to lid helical bundle; ortholog of human DSS1; protein abundance increases in response to DNA replication stress",-0.407517568452832,0.49133850934469,0.041910470445929,422,4649,"SEM1",0.595634483547371,0.308687163718323,-0.349762333923185,-0.293504,NA,-0.64005,NA,NA,-0.018744,0.03063,0.086768,0.024415,0.057092,2.50446452572323
"1014","YDR365C","YDR365C ESF1 DAMP Nucleolar protein involved in pre-rRNA processing; depletion causes severely decreased 18S rRNA levels",-0.236908349791218,-0.288693657157205,-0.262801003474212,741,514,"ESF1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1015","YDR367W","YDR367W KEI1 DAMP Component of inositol phosphorylceramide (IPC) synthase; forms a complex with Aur1p and regulates its activity; required for IPC synthase complex localization to the Golgi; post-translationally processed by Kex2p; KEI1 is an essential gene",-0.00714615275156984,-0.00579394434611524,-0.00647004854884254,2163,2135,"KEI1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1016","YDR368W","YDR368W YPR1 DEL NADPH-dependent aldo-keto reductase; reduces multiple substrates including 2-methylbutyraldehyde and D,L-glyceraldehyde, expression is induced by osmotic and oxidative stress; functionally redundant with other aldo-keto reductases; protein abundance increases in response to DNA replication stress; YPR1 has a paralog, GCY1, that arose from the whole genome duplication",0.0778278847120811,0.135688520907672,0.106758202809877,2845,3440,"YPR1",0.0877540476295866,0.0657874978300143,-0.604984555708108,NA,-0.035449,-0.027929,NA,NA,-0.021994,-0.02519,0.00377,-0.01074,-0.050673,0.957796255328956
"1017","YDR370C","YDR370C DXO1 DEL Protein with decapping and 5'-3' exoRNase activity; similar to Rai1p",-0.129839977032434,0.0204129754904677,-0.0547135007709832,1219,2414,"DXO1",0.426297058188052,-0.556922771246265,0.271024711599815,NA,NA,NA,-0.017229,NA,0.036381,0.038802,-0.002035,-0.00244,0.007973,0.338750603710421
"1018","YDR371W","YDR371W CTS2 DEL Putative chitinase; functionally complements A. gossypii cts2 mutant sporulation defect",0.21803940289423,0.0372934664725614,0.127666434683396,3839,2602,"CTS2",-1.2130470855514,0.028193050083621,1.38897106883223,-0.003433,NA,-0.013161,NA,NA,-0.026365,0.05206,-0.033308,-0.011962,-0.033462,-0.017507168153656
"1019","YDR372C","YDR372C VPS74 DEL Golgi phosphatidylinositol-4-kinase effector and PtdIns4P sensor; interacts with the cytosolic domains of cis and medial glycosyltransferases, and in the PtdIns4P-bound state mediates the targeting of these enzymes to the Golgi; interacts with the catalytic domain of Sac1p, the major cellular PtdIns4P phosphatase, to direct dephosphosphorylation of the Golgi pool of PtdIns4P; tetramerization required for function; ortholog of human GOLPH3/GPP34/GMx33",0.212903215125951,0.0485601686805163,0.130731691903234,3815,2703,"VPS74",-1.37475723695107,-0.414928349971853,-1.26270436378958,NA,-0.02459,-0.007361,-0.020123,NA,-0.039365,-0.010131,0.069973,0.021256,0.042813,-1.99749508038514
"1020","YDR374C","YDR374C PHO92 DEL Posttranscriptional regulator of phosphate metabolism; facilitates PHO4 mRNA degradation by interacting with Pop2p; regulates PHO4 mRNA stability by binding to PHO4's 3'UTR in a phosphate-dependent manner; contains highly conserved YTH (YT521-B Homology) domain that exhibits RNA-binding activity; functional homolog of human YTHDF2",-0.13991873332352,0.0167878697932019,-0.0615654317651591,1163,2375,"PHO92",-0.9462848350578,-0.904197283662296,1.89577480533538,NA,-0.013302,-0.029529,NA,NA,0.021949,-0.027062,0.023315,0.00274,-0.003174,-0.0240585173146387
"1021","YDR376W","YDR376W ARH1 DAMP Oxidoreductase of the mitochondrial inner membrane; involved in cytoplasmic and mitochondrial iron homeostasis and required for activity of Fe-S cluster-containing enzymes; one of the few mitochondrial proteins essential for viability",0.017730787572968,-0.356856998712146,-0.169563105569589,2354,399,"ARH1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1022","YDR377W","YDR377W ATP17 DEL Subunit f of the F0 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis",0.197410467013205,0.526149504333276,0.36177998567324,3724,4689,"ATP17",1.47916526003634,0.922278139297735,-0.8278366768428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.90684297531688
"1023","YDR379W","YDR379W RGA2 DEL GTPase-activating protein for polarity-establishment protein Cdc42p; implicated in control of septin organization, pheromone response, and haploid invasive growth; regulated by Pho85p and Cdc28p; RGA2 has a paralog, RGA1, that arose from the whole genome duplication",-0.0670602823860415,-0.0870007067009119,-0.0770304945434767,1677,1415,"RGA2",0.0635933638315539,0.03558569147797,-0.456936988574158,NA,-0.003093,-0.01218,NA,NA,-0.014294,0.011117,0.006907,-0.010353,-0.004335,0.295434867967483
"1024","YDR380W","YDR380W ARO10 DEL Phenylpyruvate decarboxylase; catalyzes decarboxylation of phenylpyruvate to phenylacetaldehyde, which is the first specific step in the Ehrlich pathway",-0.17956809324446,-0.0141451813709786,-0.0968566373077193,940,2053,"ARO10",0.0583241310377519,0.0895866947167815,1.61167200505749,NA,NA,NA,NA,NA,-0.00072,-0.048734,-0.0127,0.004858,-0.012536,-0.032697740541552
"1025","YDR381W","YDR381W YRA1 DAMP Nuclear polyadenylated RNA-binding protein; required for export of poly(A)+ mRNA from the nucleus; proposed to couple mRNA export with 3' end processing via its interactions with Mex67p and Pcf11p; interacts with DBP2; inhibits the helicase activity of Dbp2; functionally redundant with Yra2p, another REF family member",-0.242039574332479,0.0167133623606541,-0.112663105985912,727,2374,"YRA1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1026","YDR383C","YDR383C NKP1 DEL Central kinetochore protein and subunit of the Ctf19 complex; mutants have elevated rates of chromosome loss; orthologous to fission yeast kinetochore protein fta4",-0.1319696400541,0.200420113544405,0.0342252367451525,1201,3855,"NKP1",-0.716167311033312,-0.388233150586796,0.354010844847042,NA,-0.027444,NA,NA,NA,0.031441,-0.02879,0.041305,-0.038397,0.020291,0.0224768119919458
"1027","YDR384C","YDR384C ATO3 DEL Plasma membrane protein, putative ammonium transporter; regulation pattern suggests a possible role in export of ammonia from the cell; phosphorylated in mitochondria; member of the TC 9.B.33 YaaH family of putative transporters",0.47037574080852,0.251060240203427,0.360717990505974,4552,4091,"ATO3",0.60049446529378,-0.204917378806131,-2.02229431357219,NA,NA,-0.006784,-0.008775,NA,-0.004477,-0.044041,-0.02076,-0.033869,-0.009194,0.00824596108165075
"1028","YDR385W","YDR385W EFT2 DEL Elongation factor 2 (EF-2), also encoded by EFT1; catalyzes ribosomal translocation during protein synthesis; contains diphthamide, the unique posttranslationally modified histidine residue specifically ADP-ribosylated by diphtheria toxin; EFT2 has a paralog, EFT1, that arose from the whole genome duplication",0.530697419049997,0.73749779541805,0.634097607234024,4630,4824,"EFT2",-4.37560167968161,-5.95962929055096,-1.66078322562235,-0.031904,NA,NA,NA,NA,-0.051165,-0.003384,-0.065016,-0.0129,-0.016242,0.98271931195168
"1029","YDR386W","YDR386W MUS81 DEL Subunit of structure-specific Mms4p-Mus81p endonuclease; cleaves branched DNA; involved in DNA repair, replication fork stability, and joint molecule formation/resolution during meiotic recombination; promotes template switching during break-induced replication (BIR), causing non-reciprocal translocations (NRTs); helix-hairpin-helix protein; phosphorylation of non-catalytic subunit Mms4p by Cdc28p and Cdcp during mitotic cell cycle activates function of Mms4p-Mus81p",0.0525998360677729,0.15485070536428,0.103725270716026,2639,3575,"MUS81",0.406460032295569,-0.0603720091843577,0.106231697252376,NA,-0.060544,-0.023221,-0.020335,NA,0.044637,-0.014874,0.014123,-0.004634,0.005866,-0.0825601106499477
"1030","YDR387C","YDR387C  DEL Putative transporter; member of the sugar porter family; YDR387C is not an essential gene",-0.0237328317876659,0.0444429442420376,0.0103550562271859,2023,2661,"YDR387C",-0.596306107569938,-0.34763344313677,1.84254468033226,NA,-0.017301,NA,NA,NA,0.025066,0.039672,0.007911,0.002767,-0.012693,-0.0238799290112049
"1031","YDR388W","YDR388W RVS167 DEL Actin-associated protein with roles in endocytosis and exocytosis; interacts with Rvs161p to regulate actin cytoskeleton, endocytosis, and viability following starvation or osmotic stress; recruited to bud tips by Gyl1p and Gyp5p during polarized growth; homolog of mammalian amphiphysin",-0.165907038439367,-0.0498951443151166,-0.107901091377242,1019,1717,"RVS167",NA,NA,NA,0.038128,0.014603,-0.018367,NA,NA,-0.09471,0.015274,0.112864,-0.014937,-0.221762,-2.57780040504676
"1032","YDR389W","YDR389W SAC7 DEL GTPase activating protein (GAP) for Rho1p; regulator of a Tor2p-mediated, Rho1p GTPase switch that controls organization of the actin cytoskeleton; negative regulator of the RHO1-PKC1-MAPK cell integrity (CWI) and membrane fluidity homeostasis signaling pathways; potential Cdc28p substrate; SAC7 has a paralog, BAG7, that arose from the whole genome duplication",-0.0943774506691898,-0.117114728796638,-0.105746089732914,1445,1201,"SAC7",-0.00931077814584381,0.954471270005291,-2.33310828534427,0.004473,1.1e-05,NA,NA,NA,0.134179,-0.128047,-0.145413,-0.06277,-0.208226,-0.962975281365793
"1033","YDR391C","YDR391C  DEL Putative protein of unknown function; possibly involved in zinc homeostasis; Bdf1p-dependent transcription induced by salt stress; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus",0.0280327413560178,0.139446237557252,0.0837394894566349,2442,3465,"YDR391C",-0.998573967579854,-0.756375431844362,2.22001163742931,0.038177,0.012821,NA,NA,NA,-0.014953,0.038801,-0.035546,0.001549,-0.011463,0.0281336017778308
"1034","YDR394W","YDR394W RPT3 DAMP ATPase of the 19S regulatory particle of the 26S proteasome; one of ATPases of the regulatory particle; involved in the degradation of ubiquitinated substrates; substrate of N-acetyltransferase B",0.141315106737762,-0.0449006749012691,0.0482072159182464,3371,1767,"RPT3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1035","YDR395W","YDR395W SXM1 DEL Nuclear transport factor (karyopherin); involved in protein transport between the cytoplasm and nucleoplasm; similar to Nmd5p, Cse1p, Lph2p, and the human cellular apoptosis susceptibility protein, CAS1",-0.0873641708916446,-0.0993792913936723,-0.0933717311426585,1505,1318,"SXM1",-0.538146677573888,-1.36197188738089,-1.81659867664405,0.032931,0.003367,NA,-0.034055,NA,0.067543,-0.043719,-0.003777,-0.010174,-0.061647,0.022987789487461
"1036","YDR397C","YDR397C NCB2 DAMP Subunit of a heterodimeric NC2 transcription regulator complex; complex binds to TBP and can repress transcription by preventing preinitiation complex assembly or stimulate activated transcription; homologous to human NC2beta; complex also includes Bur6p",0.309734447865476,0.0305484305662382,0.170141439215857,4193,2523,"NCB2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1037","YDR399W","YDR399W HPT1 DEL Dimeric hypoxanthine-guanine phosphoribosyltransferase; catalyzes the transfer of the phosphoribosyl portion of 5-phosphoribosyl-alpha-1-pyrophosphate to a purine base (either guanine or hypoxanthine) to form pyrophosphate and a purine nucleotide (either guanosine monophosphate or inosine monophosphate); mutations in the human homolog HPRT1 can cause Lesch-Nyhan syndrome and Kelley-Seegmiller syndrome",0.629134478970728,0.174670923467536,0.401902701219132,4725,3710,"HPT1",0.492976067990818,0.442514202400836,-0.384969643386419,-0.022447,0.003471,-0.005173,NA,NA,0.005611,0.060129,-0.055026,0.034068,-0.017446,0.299499668778932
"1038","YDR400W","YDR400W URH1 DEL Uridine nucleosidase (uridine-cytidine N-ribohydrolase); cleaves N-glycosidic bonds in nucleosides; involved in the pyrimidine salvage and nicotinamide riboside salvage pathways",0.212134606612148,0.239345508221687,0.225740057416917,3810,4041,"URH1",-0.93203312020847,0.620054721200081,-1.22437133516822,0.005565,0.032434,-0.006246,NA,-0.00596,-0.026745,-0.02546,-0.046948,0.01302,-0.014971,-0.161440803507083
"1039","YDR401W","YDR401W  DEL Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",-0.0899804659063148,-0.109822935722839,-0.0999017008145769,1486,1245,"YDR401W",0.0410082467256413,0.0214797645785746,0.00217636287324493,-0.032125,0.020756,NA,NA,NA,-0.02089,-0.037048,-0.018911,-0.046632,-0.005825,-0.158107063802659
"1040","YDR402C","YDR402C DIT2 DEL N-formyltyrosine oxidase; sporulation-specific microsomal enzyme involved in the production of N,N-bisformyl dityrosine required for spore wall maturation, homologous to cytochrome P-450s",-0.0243080108223058,-0.249713062061961,-0.137010536442133,2017,596,"DIT2",-2.43925508611843,-0.246035558543832,1.37530594638233,-0.004823,0.021146,-0.003673,-0.026217,-0.015319,0.034135,-0.050734,-0.020079,0.020926,0.003791,0.0107133421149766
"1041","YDR403W","YDR403W DIT1 DEL Sporulation-specific enzyme required for spore wall maturation; involved in the production of a soluble LL-dityrosine-containing precursor of the spore wall; transcripts accumulate at the time of prospore enclosure",-0.0527775842976801,0.00300839460172809,-0.024884594847976,1783,2225,"DIT1",-2.41579515133299,-0.597437294781535,-1.49028354319094,-0.099033,-0.013584,-7.3e-05,-0.075782,-0.015748,0.01837,0.029815,-0.01765,-0.052597,-0.023729,-0.266587595389498
"1042","YDR405W","YDR405W MRP20 DEL Mitochondrial ribosomal protein of the large subunit",0.592997572986211,0.455385863285178,0.524191718135695,4699,4616,"MRP20",1.71817399460804,3.06035742815499,0.347046770749026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.20109893906279
"1043","YDR406W","YDR406W PDR15 DEL Plasma membrane ATP binding cassette (ABC) transporter; multidrug transporter and general stress response factor implicated in cellular detoxification; regulated by Pdr1p, Pdr3p and Pdr8p; promoter contains a PDR responsive element; PDR15 has a paralog, PDR5, that arose from the whole genome duplication",-0.16659651345504,0.241086824254682,0.037245155399821,1015,4047,"PDR15",-0.344788312974476,0.234273482341058,0.653584095524594,0.017194,0.016168,NA,-0.006452,-0.026657,0.021799,0.005227,-0.021235,-0.012114,-0.013564,-0.0146880332883619
"1044","YDR407C","YDR407C TRS120 DAMP One of 10 subunits of the transport protein particle (TRAPP) complex; the TRAPP complex is of the cis-Golgi and mediates vesicle docking and fusion; involved in endoplasmic reticulum (ER) to Golgi membrane traffic",-0.0894853316167086,-0.307351158570585,-0.198418245093647,1491,473,"TRS120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1045","YDR409W","YDR409W SIZ1 DEL SUMO/Smt3 ligase; promotes attachment of small ubiquitin-related modifier sumo (Smt3p) to proteins; binds Ubc9p and may bind septins; specifically required for sumoylation of septins in vivo; localized to the septin ring; SIZ1 has a paralog, NFI1, that arose from the whole genome duplication",0.213288236734709,0.497478507624624,0.355383372179666,3819,4656,"SIZ1",-1.89172427129455,1.78649946903266,-0.990704389543245,0.078025,-0.028254,NA,-0.00117,-0.001598,0.004295,0.030483,0.049087,0.023553,0.001876,1.36188576896495
"1046","YDR410C","YDR410C STE14 DEL Farnesyl cysteine-carboxyl methyltransferase; mediates the carboxyl methylation step during C-terminal CAAX motif processing of a-factor and RAS proteins in the endoplasmic reticulum, localizes to the ER membrane",0.167665296022276,0.263049988968667,0.215357642495472,3548,4129,"STE14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1047","YDR411C","YDR411C DFM1 DEL Endoplasmic reticulum (ER) localized protein; involved in ER-associated protein degradation (ERAD), ER stress, and homeostasis; interacts with components of ERAD-L and ERAD-C and Cdc48p; derlin-like family member similar to Der1p",0.0919505683019239,0.207210054534165,0.149580311418044,2976,3894,"DFM1",-0.22800499424742,-1.84481721653768,0.54589410186405,-0.003644,0.025449,-0.001675,-0.006841,NA,-0.016235,-0.151195,0.025092,0.008211,-0.002064,-0.511537242934103
"1048","YDR412W","YDR412W RRP17 DAMP Component of the pre-60S pre-ribosomal particle; required for cell viability under standard (aerobic) conditions but not under anaerobic conditions; exonuclease required for 5&#8242; end processing of pre-60S ribosomal RNA",-0.0525497093741713,0.266562148849597,0.107006219737713,1784,4142,"RRP17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1049","YDR414C","YDR414C ERD1 DEL Predicted membrane protein required for lumenal ER protein retention; mutants secrete the endogenous ER protein, BiP (Kar2p)",-0.167556372437308,-0.57872030316292,-0.373138337800114,1005,235,"ERD1",-2.13456857291973,-2.72335341321624,-3.07356927108426,0.095023,-0.012297,NA,NA,NA,-0.251001,0.091739,-0.188692,0.011387,-0.00429,-7.50714032046772
"1050","YDR415C","YDR415C  DEL Putative aminopeptidase",-0.310514346575468,0.0627888409911582,-0.123862752792155,555,2846,"YDR415C",-0.0978839353314204,0.0856067259557739,-2.0040815278851,0.053833,0.016852,NA,NA,-0.022567,-0.002733,-0.042845,0.028545,0.024563,0.025505,-6.50101843705826
"1051","YDR417C","YDR417C  DEL Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF RPL12B/YDR418W",0.534504933372703,0.0846303255030996,0.309567629437901,4639,3033,"YDR417C",0.545528515280842,-0.245243142416329,2.90599040447908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.16906284250945
"1052","YDR419W","YDR419W RAD30 DEL DNA polymerase eta; involved in translesion synthesis during post-replication repair; catalyzes the synthesis of DNA opposite cyclobutane pyrimidine dimers and other lesions; may also have a role in protection against mitochondrial mutagenesis; mutations in human pol eta are responsible for XPV",0.0564011021310541,0.0704980971379287,0.0634495996344914,2670,2912,"RAD30",-0.543507125229237,-0.525663453756338,-0.454017773909363,-0.011448,0.004643,-0.004149,-0.006213,-0.03267,-0.024707,0.038737,0.035068,0.025029,0.013721,0.0103216618789046
"1053","YDR420W","YDR420W HKR1 DEL Mucin family member that functions as an osmosensor in the HOG pathway; functions in the Sho1p-mediated HOG pathway with Msb2p; proposed to be a negative regulator of filamentous growth; mutant displays defects in beta-1,3 glucan synthesis and bud site selection",0.284317075619838,-0.000484321034079606,0.141916377292879,4116,2185,"HKR1",-0.569282563964426,-0.134712409188325,0.248172350632548,-0.004237,-0.011174,NA,NA,-0.010319,0.018661,0.082709,0.046922,0.004163,0.016597,-0.166338032386522
"1054","YDR421W","YDR421W ARO80 DEL Zinc finger transcriptional activator of the Zn2Cys6 family; activates transcription of aromatic amino acid catabolic genes in the presence of aromatic amino acids",-0.100286976068727,0.239736112891925,0.069724568411599,1411,4043,"ARO80",-0.421076323172076,0.527826915771613,0.557186049598284,0.000632,0.000917,NA,NA,-0.017607,-0.032851,-0.026468,0.006039,-0.083359,-0.00523,0.0674214002006004
"1055","YDR422C","YDR422C SIP1 DEL Alternate beta-subunit of the Snf1p kinase complex; may confer substrate specificity; vacuolar protein containing KIS (Kinase-Interacting Sequence) and ASC (Association with Snf1 kinase Complex) domains involved in protein interactions",-0.00713401127168439,0.0941648748448379,0.0435154317865768,2164,3115,"SIP1",-0.581570725618514,-0.605828362489109,0.709513911836777,0.006796,-0.036738,-0.020257,NA,NA,0.011564,0.003415,-0.00647,-0.031928,0.012782,-1.11115090067514
"1056","YDR423C","YDR423C CAD1 DEL AP-1-like basic leucine zipper (bZIP) transcriptional activator; involved in stress responses, iron metabolism, and pleiotropic drug resistance; controls a set of genes involved in stabilizing proteins; binds consensus sequence TTACTAA; CAD1 has a paralog, YAP1, that arose from the whole genome duplication",-0.184341213126085,0.192641687192126,0.00415023703302049,920,3811,"CAD1",-0.367436642817832,0.37259407786012,-0.145121079052708,0.031086,0.042727,0.018192,0.004869,-0.033153,0.027363,-0.036192,0.027959,0.024055,0.059364,-0.0626849541576539
"1057","YDR424C","YDR424C DYN2 DEL Cytoplasmic light chain dynein, microtubule motor protein; required for intracellular transport and cell division; involved in mitotic spindle positioning; forms complex with dynein intermediate chain Pac11p that promotes Dyn1p homodimerization, potentiates motor processivity; Dyn2p-Pac11p complex important for interaction of dynein motor complex with dynactin complex; acts as molecular glue to dimerize, stabilize Nup82-Nsp1-Nup159 complex module of cytoplasmic pore filaments",0.315925837350773,0.217403915475062,0.266664876412917,4217,3937,"DYN2",-0.351680083897359,-2.81749922315898,-0.219243321377471,-0.03214,-0.029561,0.016813,0.01994,-0.041149,0.046984,0.014122,-0.087428,0.026893,0.039433,-0.154397707064352
"1058","YDR425W","YDR425W SNX41 DEL Sorting nexin; involved in the retrieval of late-Golgi SNAREs from the post-Golgi endosome to the trans-Golgi network; interacts with Snx4p",0.179726879944541,0.060781985507354,0.120254432725948,3623,2828,"SNX41",0.40492045532242,-0.155516174939909,0.708845479586704,0.071248,0.034772,0.004024,-0.001724,-0.056339,0.020372,0.074687,0.034938,0.002614,0.005378,-0.766325444008325
"1059","YDR426C","YDR426C  DEL Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF SNX41",0.41963162225573,0.109261572083715,0.264446597169722,4454,3243,"YDR426C",0.244182400348834,0.719698462146573,-0.177670580045478,-0.068401,0.046278,0.02568,-0.004852,-0.011532,-0.025786,-0.030521,-0.004513,0.025273,-0.023005,-1.04282977991896
"1060","YDR427W","YDR427W RPN9 DAMP Non-ATPase regulatory subunit of the 26S proteasome; similar to putative proteasomal subunits in other species; null mutant is temperature sensitive and exhibits cell cycle and proteasome assembly defects; protein abundance increases in response to DNA replication stress; relocalizes to the cytosol in response to hypoxia",0.183813305715608,0.318326478388436,0.251069892052022,3653,4320,"RPN9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1061","YDR428C","YDR428C BNA7 DEL Formylkynurenine formamidase; involved in the de novo biosynthesis of NAD from tryptophan via kynurenine",0.0790555210142458,-0.123986505155941,-0.0224654920708476,2857,1164,"BNA7",0.318485480258075,-0.974986534603038,0.549704823618901,0.009799,-0.008042,-0.042218,-0.046041,-0.052396,0.002023,0.037129,0.038705,0.005094,-0.025211,0.424837827340263
"1062","YDR430C","YDR430C CYM1 DEL Lysine-specific metalloprotease of the pitrilysin family; metalloprotease of the intermembrane space; degrades proteins and presequence peptides cleaved from imported proteins; required for normal mitochondrial morphology",-0.100077226360736,-0.0392079402734045,-0.0696425833170703,1414,1821,"CYM1",-2.3676077064178,-0.600994625023955,0.432589348634538,-0.047919,-0.003835,-0.014776,-0.011732,0.003838,-0.00074,-0.054701,0.042546,-0.061284,0.005839,0.030765678395471
